 id, image,item_index,name, role,ghost, movie, title_id, description,item1,link1,item2,link2,item3,link3
https://www.imdb.com/name/nm0931329,"https://m.media-amazon.com/images/M/MV5BOWNhYzU3N2YtY2Q0OS00ODM1LWE2MzUtM2MzNjk3NTgzNWE1XkEyXkFqcGdeQXVyNzkyNDc1OTM@._V1_UX140_CR0,0,140,209_AL_.jpg",51,Michelle Williams,Actress,|,Blue Valentine,https://www.imdb.com/title/tt1120985/,"A small-town girl born and raised in rural Kalispell, Montana, Michelle Ingrid Williams is the daughter of Carla Ingrid (Swenson), a homemaker, and Larry Richard Williams, a commodity trader and author. Her ancestry is Norwegian, as well as German, British Isles, and other Scandinavian. She was ...",,,,,,
https://www.imdb.com/name/nm0003160,"https://m.media-amazon.com/images/M/MV5BMzQyMzg1NjUxN15BMl5BanBnXkFtZTgwNDAyMjAwMDE@._V1_UY209_CR8,0,140,209_AL_.jpg",52,Christopher McQuarrie,Writer,|,The Usual Suspects,https://www.imdb.com/title/tt0114814/,"Christopher McQuarrie is an acclaimed producer, director and an Academy Award® winning writer. McQuarrie grew up in Princeton Junction, New Jersey and in lieu of college, he spent the first five years out of school traveling and working at a detective agency. He later moved to Los Angeles to pursue...",,,,,,
https://www.imdb.com/name/nm0000130,"https://m.media-amazon.com/images/M/MV5BMjI0MTI0MDk2OV5BMl5BanBnXkFtZTgwODQ4MTE0NDE@._V1_UY209_CR8,0,140,209_AL_.jpg",53,Jamie Lee Curtis,Actress,|,True Lies,https://www.imdb.com/title/tt0111503/,"Jamie Lee Curtis was born on November 22, 1958 in Los Angeles, California, the daughter of legendary actors  and . She got her big break at acting in 1978 when she won the role of Laurie Strode in  (1978). After that, she became famous for roles in movies like ...",Janet Leigh,https://www.imdb.com/name/nm0001463?ref_=rlm,Tony Curtis,https://www.imdb.com/name/nm0000348?ref_=rlm,Halloween,https://www.imdb.com/title/tt0077651?ref_=rlm
https://www.imdb.com/name/nm3994408,"https://m.media-amazon.com/images/M/MV5BZmQxOTJlZDAtMzg2OS00NzQwLTk5ZDgtZTg3ZDJhNTY4OGI0XkEyXkFqcGdeQXVyMjM2MTM1ODA@._V1_UY209_CR5,0,140,209_AL_.jpg",54,Jane Levy,Actress,|,Evil Dead,https://www.imdb.com/title/tt1288558/,"Jane Levy was born on 29 December 1989. She was born in California, USA. Jane attended Sir Francis Drake High School in San Anselmo, California. While in school, she was on the hip hop dancing team and was captain of the soccer team. During that time, she also appeared in Community Theater ...",,,,,,
https://www.imdb.com/name/nm3117320,"https://m.media-amazon.com/images/M/MV5BNWYzODJjYTItMmRmMy00OGJmLWJkNzUtOTVlM2I4Mjc1NjM5XkEyXkFqcGdeQXVyMjAyMjY4MjM@._V1_UX140_CR0,0,140,209_AL_.jpg",55,Jackie Cruz,Actress,|,Orange Is the New Black,https://www.imdb.com/title/tt2372162/,"Jackie Cruz has been singing and acting her whole life, and has entertained thousands with her unique sound, and artistic skills on screen with her roles on Netflix's #1 series,  (2013) as Flaca.At a young age, Jackie has made amazing strides in her career with being named ...",Orange Is the New Black,https://www.imdb.com/title/tt2372162?ref_=rlm,,,,
https://www.imdb.com/name/nm0671567,"https://m.media-amazon.com/images/M/MV5BMTczNzcxNTE5NV5BMl5BanBnXkFtZTcwOTE4MTMzMQ@@._V1_UY209_CR11,0,140,209_AL_.jpg",56,Michael Peña,Actor,|,American Hustle,https://www.imdb.com/title/tt1800241/,"Peña was born and raised in Chicago, to Nicolasa, a social worker, and Eleuterio Peña, who worked at a button factory. His parents were originally from Mexico. After graduating from high school, he went to an open casting call for the  feature  (1996), and to ...",Peter Bogdanovich,https://www.imdb.com/name/nm0000953?ref_=rlm,"To Sir, with Love II",https://www.imdb.com/title/tt0117927?ref_=rlm,,
https://www.imdb.com/name/nm0001491,"https://m.media-amazon.com/images/M/MV5BMjIzNDg5NTg4Nl5BMl5BanBnXkFtZTcwMTU3NjgyMw@@._V1_UY209_CR4,0,140,209_AL_.jpg",57,Melanie Lynskey,Actress,|,Togetherness,https://www.imdb.com/title/tt3061830/,"At 16 years of age, Melanie Lynskey captivated audiences with her astonishing debut in 's Academy Award-nominated  (1994). Her portrayal of an outcast teen whose relationship with her best friend () spirals dangerously out of control was described as ""...",Peter Jackson,https://www.imdb.com/name/nm0001392?ref_=rlm,Heavenly Creatures,https://www.imdb.com/title/tt0110005?ref_=rlm,Kate Winslet,https://www.imdb.com/name/nm0000701?ref_=rlm
https://www.imdb.com/name/nm2731660,"https://m.media-amazon.com/images/M/MV5BMTgxODk4NzUwMF5BMl5BanBnXkFtZTcwMTc1MDQ4Nw@@._V1_UY209_CR12,0,140,209_AL_.jpg",58,Charlotte Riley,Actress,|,In the Heart of the Sea,https://www.imdb.com/title/tt1390411/,"Charlotte Riley is an English actress. She is best known for her role as Catherine Earnshaw in ITV's adaptation of Wuthering Heights.Riley was born in Grindon, County Durham. In 2004 she won the Sunday Times' Playwriting Award for Shaking Cecilia, which she co-wrote with Tiffany Wood.She also ...",,,,,,
https://www.imdb.com/name/nm1601397,"https://m.media-amazon.com/images/M/MV5BMjA2OTMyNTczMV5BMl5BanBnXkFtZTcwNDc5MzIzMw@@._V1_UY209_CR11,0,140,209_AL_.jpg",59,Olivia Munn,Actress,|,The Newsroom,https://www.imdb.com/title/tt1870479/,"Lisa Olivia Munn was born in Oklahoma City, Oklahoma. Her mother, Kimberly Schmid, lived in Vietnam, and is of Chinese ancestry, while her father, Winston Barrett Munn, is from a family with deep roots in the American South. Olivia's parents divorced when she was two years old, and she was raised ...",,,,,,
https://www.imdb.com/name/nm1165110,"https://m.media-amazon.com/images/M/MV5BOTU2MTI0NTIyNV5BMl5BanBnXkFtZTcwMTA4Nzc3OA@@._V1_UX140_CR0,0,140,209_AL_.jpg",60,Chris Hemsworth,Actor,|,The Avengers,https://www.imdb.com/title/tt0848228/,"Chris Hemsworth was born in Melbourne, Australia, to Leonie (van Os), a teacher of English, and Craig Hemsworth, a social-services counselor. His brothers are actors  and . He is of Dutch (from his immigrant maternal grandfather), Irish, English, Scottish, and German ...",Liam Hemsworth,https://www.imdb.com/name/nm2955013?ref_=rlm,Luke Hemsworth,https://www.imdb.com/name/nm1292661?ref_=rlm,,
