image,celeb,role,movie,description
"https://m.media-amazon.com/images/M/MV5BOWNhYzU3N2YtY2Q0OS00ODM1LWE2MzUtM2MzNjk3NTgzNWE1XkEyXkFqcGdeQXVyNzkyNDc1OTM@._V1_UX140_CR0,0,140,209_AL_.jpg",Michelle Williams,Actress,Blue Valentine,"A small-town girl born and raised in rural Kalispell, Montana, Michelle Ingrid Williams is the daughter of Carla Ingrid (Swenson), a homemaker, and Larry Richard Williams, a commodity trader and author. Her ancestry is Norwegian, as well as German, British Isles, and other Scandinavian. She was ..."
"https://m.media-amazon.com/images/M/MV5BMzQyMzg1NjUxN15BMl5BanBnXkFtZTgwNDAyMjAwMDE@._V1_UY209_CR8,0,140,209_AL_.jpg",Christopher McQuarrie,Writer,The Usual Suspects,"Christopher McQuarrie is an acclaimed producer, director and an Academy Award® winning writer. McQuarrie grew up in Princeton Junction, New Jersey and in lieu of college, he spent the first five years out of school traveling and working at a detective agency. He later moved to Los Angeles to pursue..."
"https://m.media-amazon.com/images/M/MV5BMjI0MTI0MDk2OV5BMl5BanBnXkFtZTgwODQ4MTE0NDE@._V1_UY209_CR8,0,140,209_AL_.jpg",Jamie Lee Curtis,Actress,True Lies,"Jamie Lee Curtis was born on November 22, 1958 in Los Angeles, California, the daughter of legendary actors  and . She got her big break at acting in 1978 when she won the role of Laurie Strode in  (1978). After that, she became famous for roles in movies like ..."
"https://m.media-amazon.com/images/M/MV5BZmQxOTJlZDAtMzg2OS00NzQwLTk5ZDgtZTg3ZDJhNTY4OGI0XkEyXkFqcGdeQXVyMjM2MTM1ODA@._V1_UY209_CR5,0,140,209_AL_.jpg",Jane Levy,Actress,Evil Dead,"Jane Levy was born on 29 December 1989. She was born in California, USA. Jane attended Sir Francis Drake High School in San Anselmo, California. While in school, she was on the hip hop dancing team and was captain of the soccer team. During that time, she also appeared in Community Theater ..."
"https://m.media-amazon.com/images/M/MV5BNWYzODJjYTItMmRmMy00OGJmLWJkNzUtOTVlM2I4Mjc1NjM5XkEyXkFqcGdeQXVyMjAyMjY4MjM@._V1_UX140_CR0,0,140,209_AL_.jpg",Jackie Cruz,Actress,Orange Is the New Black,"Jackie Cruz has been singing and acting her whole life, and has entertained thousands with her unique sound, and artistic skills on screen with her roles on Netflix's #1 series,  (2013) as Flaca.At a young age, Jackie has made amazing strides in her career with being named ..."
"https://m.media-amazon.com/images/M/MV5BMTczNzcxNTE5NV5BMl5BanBnXkFtZTcwOTE4MTMzMQ@@._V1_UY209_CR11,0,140,209_AL_.jpg",Michael Peña,Actor,American Hustle,"Peña was born and raised in Chicago, to Nicolasa, a social worker, and Eleuterio Peña, who worked at a button factory. His parents were originally from Mexico. After graduating from high school, he went to an open casting call for the  feature  (1996), and to ..."
"https://m.media-amazon.com/images/M/MV5BMjIzNDg5NTg4Nl5BMl5BanBnXkFtZTcwMTU3NjgyMw@@._V1_UY209_CR4,0,140,209_AL_.jpg",Melanie Lynskey,Actress,Togetherness,"At 16 years of age, Melanie Lynskey captivated audiences with her astonishing debut in 's Academy Award-nominated  (1994). Her portrayal of an outcast teen whose relationship with her best friend () spirals dangerously out of control was described as ""..."
"https://m.media-amazon.com/images/M/MV5BMTgxODk4NzUwMF5BMl5BanBnXkFtZTcwMTc1MDQ4Nw@@._V1_UY209_CR12,0,140,209_AL_.jpg",Charlotte Riley,Actress,In the Heart of the Sea,"Charlotte Riley is an English actress. She is best known for her role as Catherine Earnshaw in ITV's adaptation of Wuthering Heights.Riley was born in Grindon, County Durham. In 2004 she won the Sunday Times' Playwriting Award for Shaking Cecilia, which she co-wrote with Tiffany Wood.She also ..."
"https://m.media-amazon.com/images/M/MV5BMjA2OTMyNTczMV5BMl5BanBnXkFtZTcwNDc5MzIzMw@@._V1_UY209_CR11,0,140,209_AL_.jpg",Olivia Munn,Actress,The Newsroom,"Lisa Olivia Munn was born in Oklahoma City, Oklahoma. Her mother, Kimberly Schmid, lived in Vietnam, and is of Chinese ancestry, while her father, Winston Barrett Munn, is from a family with deep roots in the American South. Olivia's parents divorced when she was two years old, and she was raised ..."
"https://m.media-amazon.com/images/M/MV5BOTU2MTI0NTIyNV5BMl5BanBnXkFtZTcwMTA4Nzc3OA@@._V1_UX140_CR0,0,140,209_AL_.jpg",Chris Hemsworth,Actor,The Avengers,"Chris Hemsworth was born in Melbourne, Australia, to Leonie (van Os), a teacher of English, and Craig Hemsworth, a social-services counselor. His brothers are actors  and . He is of Dutch (from his immigrant maternal grandfather), Irish, English, Scottish, and German ..."
"https://m.media-amazon.com/images/M/MV5BMzk4NjFhYWItODg5OC00MmM1LTljMzItNDBjOWYzMTdiNjVjXkEyXkFqcGdeQXVyMTQxMTcxNzc@._V1_UX140_CR0,0,140,209_AL_.jpg",Shantel VanSanten,Actress,Shooter,"Shantel Yvonne VanSanten is an American model and actress, born July 25, 1985. As a model, she has been featured in the magazines Teen Vogue and Seventeen. VanSanten was born in Luverne, Minnesota. She is of Dutch and one quarter Norwegian descent. VanSanten was raised in Spring, Texas where she ..."
"https://m.media-amazon.com/images/M/MV5BMTQzNTY2MzczMl5BMl5BanBnXkFtZTcwNjEzNTUxOQ@@._V1_UY209_CR4,0,140,209_AL_.jpg",Paula Patton,Actress,Precious,"Paula Patton was born in Los Angeles, California, to Joyce (Vanraden) and Charles Patton. Her father is African-American and her mother, who is caucasian, has German, English, and Dutch ancestry. Her family lived across the street from the 20th Century Fox lot when she was growing up and she was a ..."
"https://m.media-amazon.com/images/M/MV5BMjI0MTg3MzI0M15BMl5BanBnXkFtZTcwMzQyODU2Mw@@._V1_UY209_CR7,0,140,209_AL_.jpg",Leonardo DiCaprio,Actor,Inception,"Few actors in the world have had a career quite as diverse as Leonardo DiCaprio's. DiCaprio has gone from relatively humble beginnings, as a supporting cast member of the sitcom  (1985) and low budget horror movies, such as  (1991), to a major teenage heartthrob in the 1990s,..."
"https://m.media-amazon.com/images/M/MV5BMTM2OTI1MTEyOV5BMl5BanBnXkFtZTcwMzM5NTQ4NA@@._V1_UX140_CR0,0,140,209_AL_.jpg",Michael Biehn,Actor,Aliens,"Michael Connell Biehn was born on July 31, 1956 in Anniston, Alabama, to Marcia (Connell) and Don Biehn, a lawyer. He grew up in Lincoln, Nebraska, and at age 14 moved with his family to Lake Havasu, Arizona, where he won a drama scholarship to the University of Arizona. He left prematurely two ..."
"https://m.media-amazon.com/images/M/MV5BNjE3NDQyOTYyMV5BMl5BanBnXkFtZTcwODcyODU2Mw@@._V1_UY209_CR5,0,140,209_AL_.jpg",Christopher Nolan,Writer,Inception,"Best known for his cerebral, often nonlinear, storytelling, acclaimed writer-director  was born on July 30, 1970 in London, England. Over the course of 15 years of filmmaking, Nolan has gone from low-budget independent films to working on some of the biggest blockbusters ever made...."
"https://m.media-amazon.com/images/M/MV5BMjAxZTk4NDAtYjI3Mi00OTk3LTg0NDEtNWFlNzE5NDM5MWM1XkEyXkFqcGdeQXVyOTI3MjYwOQ@@._V1_UY209_CR8,0,140,209_AL_.jpg",Zendaya,Actress,Spider-Man: Homecoming,"Zendaya (which means ""to give thanks"" in the language of Shona) is an American actress and singer born in Oakland, California. She began her career appearing as a child model working for Macy's, Mervyns and Old Navy. She was a backup dancer before gaining prominence for her role as Rocky Blue on ..."
"https://m.media-amazon.com/images/M/MV5BNmU5Yjk4OTItMjMzZS00MTYzLWI1ZDktYWM4YWM2NTM2YzMzXkEyXkFqcGdeQXVyMzY2OTA2MzM@._V1_UY209_CR8,0,140,209_AL_.jpg",Morena Baccarin,Actress,Deadpool,"Morena Baccarin was born in Rio de Janeiro, Brazil, to actress  and journalist Fernando Baccarin. Her uncle was actor . Morena has Italian and Brazilian Portuguese ancestry. She moved to New York at the age of 10, when her father was transferred there. She attended the LaGuardia..."
"https://m.media-amazon.com/images/M/MV5BMjUzZTJmZDItODRjYS00ZGRhLTg2NWQtOGE0YjJhNWVlMjNjXkEyXkFqcGdeQXVyMTg4NDI0NDM@._V1_UY209_CR34,0,140,209_AL_.jpg",Gal Gadot,Actress,Wonder Woman,"Gal Gadot is an Israeli actress, singer, martial artist, and model. She was born in Rosh Ha'ayin, Israel, to an Ashkenazi Jewish family. Her parents are Irit, a teacher, and Michael, an engineer, who is a sixth-generation Israeli. She served in the IDF for two years, and won the Miss Israel title ..."
"https://m.media-amazon.com/images/M/MV5BMjIyMzYyMjQ5OV5BMl5BanBnXkFtZTcwMTA0MTkxNw@@._V1_UY209_CR3,0,140,209_AL_.jpg",Aubrey Plaza,Actress,Safety Not Guaranteed,"Aubrey Christina Plaza (born June 26, 1984) is an American actress and comedian known for her deadpan style. She portrayed April Ludgate on  (2009), and after appearing in supporting roles in several films, had her first leading role in the 2012 comedy  (..."
"https://m.media-amazon.com/images/M/MV5BNzg3MTgwOTgzMV5BMl5BanBnXkFtZTgwODIxMTUwMjE@._V1_UX140_CR0,0,140,209_AL_.jpg",Chris Pratt,Actor,Guardians of the Galaxy,"Christopher Michael Pratt is an American film and television actor. He came to prominence for his small-screen roles, including Bright Abbott in  (2002), Ché in  (2003), and Andy Dwyer and  (2009), and notable film roles in  (2011), ..."
"https://m.media-amazon.com/images/M/MV5BOWQyMWRjNjYtNjdjYS00ZTJiLTkwN2EtNmU5MThkNzZhNzVhL2ltYWdlXkEyXkFqcGdeQXVyNzIyNjEzNjE@._V1_UX140_CR0,0,140,209_AL_.jpg",Henny Russell,Actress,Orange Is the New Black,"A Chicago native, Henny Russell was born to a Norwegian mother and an American father. She graduated with honors from New York University/Tisch School of the Arts (BFA) and received her MFA from the University of San Diego/Old Globe Theatre. She has been married to actor R. Ward Duffy since 2004."
"https://m.media-amazon.com/images/M/MV5BNjg3OTg4MDczMl5BMl5BanBnXkFtZTgwODc0NzUwNjE@._V1_UX140_CR0,0,140,209_AL_.jpg",Emilia Clarke,Actress,Game of Thrones,"British actress Emilia Clarke was born in London and grew up in Berkshire, England. Her father is a theatre sound engineer and her mother is a businesswoman. Her father was working on a theatre production of ""Show Boat"" and her mother took her along to the performance. This is when, at the age of 3..."
"https://m.media-amazon.com/images/M/MV5BNjUxNjcxMjE4N15BMl5BanBnXkFtZTgwNDk4NjA2MzE@._V1_UY209_CR13,0,140,209_AL_.jpg",Laura Prepon,Actress,Orange Is the New Black,"Laura Helene Prepon was born on March 7, 1980, in Watchung, New Jersey. She is the daughter of Marjorie (Coll) and Michael Prepon. Her father died in 1993, when she was 13 years old. Laura is the youngest of five children--she has a brother named Brad and three sisters: Danielle, Jocelyn, and ..."
"https://m.media-amazon.com/images/M/MV5BMTQyODg5OTM0NV5BMl5BanBnXkFtZTYwNDEzMzY0._V1_UY209_CR1,0,140,209_AL_.jpg",Mackenzie Phillips,Actress,American Graffiti,"Mackenzie Phillips was known for her role in the 1973 hit movie  (1973). Two years later, she got the role that changed her life in the 1975 sitcom  (1975). The show was an instant success, and everything was going well until the third season was launched, when she..."
