image href,poster src,Title,overview-top href,absmiddle src,Runtime,genre,Ratings,metascore,Description,Director,txt-block href,Stars,Box office,btn2 href,cert-runtime-genre 6,cert-runtime-genre 7,cert-runtime-genre 8
https://www.imdb.com/title/tt4912910/?ref_=inth_ov_i,https://m.media-amazon.com/images/M/MV5BMTk3NDY5MTU0NV5BMl5BanBnXkFtZTgwNDI3MDE1NTM@._V1_UY209_CR1|0|140|209_AL_.jpg,Mission: Impossible - Fallout (2018),https://www.imdb.com/title/tt4912910/?ref_=inth_ov_tt,https://m.media-amazon.com/images/G/01/imdb/images/certificates/us/pg_13-2767653680._CB470171239_.png,147 min,Action|Adventure|Thriller,8.2,86,Ethan Hunt and his IMF team; along with some familiar allies; race against time after a mission gone wrong.,Christopher McQuarrie,https://www.imdb.com/name/nm0003160/?ref_=inth_ov_nm,Tom Cruise|Henry Cavill|Ving Rhames|Simon Pegg,Weekend: $61.24M| Gross: $163.43M,https://www.imdb.com/video/imdb/vi2629352217?ref_=inth_ov_vi,,,
https://www.imdb.com/title/tt4575576/?ref_=inth_ov_i,https://m.media-amazon.com/images/M/MV5BMjAzOTM2OTAyNF5BMl5BanBnXkFtZTgwNTg5ODg1NTM@._V1_UY209_CR0|0|140|209_AL_.jpg,Christopher Robin (2018),https://www.imdb.com/title/tt4575576/?ref_=inth_ov_tt,https://m.media-amazon.com/images/G/01/imdb/images/certificates/us/pg-1313470000._CB470159285_.png,104 min,Animation|Adventure|Comedy,7.9,60,A working-class family man; Christopher Robin; encounters his childhood friend Winnie-the-Pooh; who helps him to rediscover the joys of life.,Marc Forster,https://www.imdb.com/name/nm0286975/?ref_=inth_ov_nm,Ewan McGregor|Hayley Atwell|Bronte Carmichael|Mark Gatiss,Weekend: $24.59M| Gross: $52.36M,https://www.imdb.com/video/imdb/vi2966207257?ref_=inth_ov_vi,Drama,Family,Fantasy
https://www.imdb.com/title/tt6663582/?ref_=inth_ov_i,https://m.media-amazon.com/images/M/MV5BNDY1MTA0NjgyN15BMl5BanBnXkFtZTgwMTEzNDQ4NTM@._V1_UX140_CR0|0|140|209_AL_.jpg,The Spy Who Dumped Me (2018),https://www.imdb.com/title/tt6663582/?ref_=inth_ov_tt,https://m.media-amazon.com/images/G/01/imdb/images/certificates/us/r-2493392566._CB470171259_.png,117 min,Action|Adventure|Comedy,6.4,51,Audrey and Morgan are best friends who unwittingly become entangled in an international conspiracy when one of the women discovers the boyfriend who dumped her was actually a spy.,Susanna Fogel,https://www.imdb.com/name/nm2573005/?ref_=inth_ov_nm,Justin Theroux| Blanka Györfi-Tóth|Vilma Szécsi|Mila Kunis,Weekend: $12.10M| Gross: $25.19M,https://www.imdb.com/video/imdb/vi357546009?ref_=inth_ov_vi,,,
https://www.imdb.com/title/tt6911608/?ref_=inth_ov_i,https://m.media-amazon.com/images/M/MV5BMjEwMTM3OTI1NV5BMl5BanBnXkFtZTgwNDk5NTY0NTM@._V1_UX140_CR0|0|140|209_AL_.jpg,Mamma Mia! Here We Go Again (2018),https://www.imdb.com/title/tt6911608/?ref_=inth_ov_tt,https://m.media-amazon.com/images/G/01/imdb/images/certificates/us/pg_13-2767653680._CB470171239_.png,114 min,Comedy|Musical,7.2,60,Five years after the events of  (2008); Sophie learns about her mother's past while pregnant herself.,Ol Parker,https://www.imdb.com/name/nm0662530/?ref_=inth_ov_nm,Lily James|Amanda Seyfried|Meryl Streep|Cher,Weekend: $34.95M| Gross: $104.86M,https://www.imdb.com/video/imdb/vi2789914649?ref_=inth_ov_vi,,,
https://www.imdb.com/title/tt3766354/?ref_=inth_ov_i,https://m.media-amazon.com/images/M/MV5BMTU2OTYzODQyMF5BMl5BanBnXkFtZTgwNjU3Njk5NTM@._V1_UY209_CR0|0|140|209_AL_.jpg,The Equalizer 2 (2018),https://www.imdb.com/title/tt3766354/?ref_=inth_ov_tt,https://m.media-amazon.com/images/G/01/imdb/images/certificates/us/r-2493392566._CB470171259_.png,121 min,Action|Crime|Thriller,7.1,50,Robert McCall serves an unflinching justice for the exploited and oppressed; but how far will he go when that is someone he loves?,Antoine Fuqua,https://www.imdb.com/name/nm0298807/?ref_=inth_ov_nm,Denzel Washington|Pedro Pascal|Ashton Sanders|Orson Bean,Weekend: $36.01M| Gross: $90.13M,https://www.imdb.com/video/imdb/vi1943583513?ref_=inth_ov_vi,,,
https://www.imdb.com/title/tt5220122/?ref_=inth_ov_i,https://m.media-amazon.com/images/M/MV5BNjA1MzU5MTY3OF5BMl5BanBnXkFtZTgwNTU5MDA3NTM@._V1_UY209_CR0|0|140|209_AL_.jpg,Hotel Transylvania 3: Summer Vacation (2018),https://www.imdb.com/title/tt5220122/?ref_=inth_ov_tt,https://m.media-amazon.com/images/G/01/imdb/images/certificates/us/pg-1313470000._CB470159285_.png,97 min,Animation|Comedy|Family,6.3,54,Count Dracula and company participate in a cruise for sea-loving monsters; unaware that their boat is being commandeered by the monster-hating Van Helsing family.,Genndy Tartakovsky,https://www.imdb.com/name/nm0850733/?ref_=inth_ov_nm,Adam Sandler|Andy Samberg|Selena Gomez|Kevin James,Weekend: $44.08M| Gross: $147.76M,https://www.imdb.com/video/imdb/vi2978790169?ref_=inth_ov_vi,Fantasy,,
https://www.imdb.com/title/tt5095030/?ref_=inth_ov_i,https://m.media-amazon.com/images/M/MV5BYjcyYTk0N2YtMzc4ZC00Y2E0LWFkNDgtNjE1MzZmMGE1YjY1XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UY209_CR0|0|140|209_AL_.jpg,Ant-Man and the Wasp (2018),https://www.imdb.com/title/tt5095030/?ref_=inth_ov_tt,https://m.media-amazon.com/images/G/01/imdb/images/certificates/us/pg_13-2767653680._CB470171239_.png,118 min,Action|Adventure|Sci-Fi,7.4,70,As Scott Lang balances being both a Super Hero and a father; Hope van Dyne and Dr. Hank Pym present an urgent new mission that finds the Ant-Man fighting alongside The Wasp to uncover secrets from their past.,Peyton Reed,https://www.imdb.com/name/nm0715636/?ref_=inth_ov_nm,Paul Rudd|Evangeline Lilly| Michael Peña|Walton Goggins,Weekend: $75.81M| Gross: $204.11M,https://www.imdb.com/video/imdb/vi4137138969?ref_=inth_ov_vi,,,
https://www.imdb.com/title/tt4073790/?ref_=inth_ov_i,https://m.media-amazon.com/images/M/MV5BMTUxOGE3OTUtM2I2My00YzE3LTg2NDktZTI3NjE4NDdjMGFiXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UY209_CR0|0|140|209_AL_.jpg,The Darkest Minds (2018),https://www.imdb.com/title/tt4073790/?ref_=inth_ov_tt,https://m.media-amazon.com/images/G/01/imdb/images/certificates/us/pg_13-2767653680._CB470171239_.png,104 min,Sci-Fi|Thriller,5.5,39,Imprisoned by an adult world that now fears everyone under 18; a group of teens form a resistance group to fight back and reclaim control of their future.,Jennifer Yuh Nelson,https://www.imdb.com/name/nm0950775/?ref_=inth_ov_nm,Amandla Stenberg|Mandy Moore|Bradley Whitford|Harris Dickinson,Weekend: $5.84M| Gross: $11.28M,https://www.imdb.com/video/imdb/vi3990797081?ref_=inth_ov_vi,,,
https://www.imdb.com/title/tt3606756/?ref_=inth_ov_i,https://m.media-amazon.com/images/M/MV5BMTEzNzY0OTg0NTdeQTJeQWpwZ15BbWU4MDU3OTg3MjUz._V1_UY209_CR0|0|140|209_AL_.jpg,Incredibles 2 (2018),https://www.imdb.com/title/tt3606756/?ref_=inth_ov_tt,https://m.media-amazon.com/images/G/01/imdb/images/certificates/us/pg-1313470000._CB470159285_.png,118 min,Animation|Action|Adventure,8.1,80,Bob Parr (Mr. Incredible) is left to care for the kids while Helen (Elastigirl) is out saving the world.,Brad Bird,https://www.imdb.com/name/nm0083348/?ref_=inth_ov_nm,Craig T. Nelson|Holly Hunter|Sarah Vowell|Huck Milner,Weekend: $182.69M| Gross: $590.29M,https://www.imdb.com/video/imdb/vi3210917913?ref_=inth_ov_vi,Comedy,Family,Sci-Fi
https://www.imdb.com/title/tt7424200/?ref_=inth_ov_i,https://m.media-amazon.com/images/M/MV5BMjM3NDMwMDE2N15BMl5BanBnXkFtZTgwNDQ1Mjg5NTM@._V1_UY209_CR1|0|140|209_AL_.jpg,Teen Titans Go! To the Movies (2018),https://www.imdb.com/title/tt7424200/?ref_=inth_ov_tt,https://m.media-amazon.com/images/G/01/imdb/images/certificates/us/pg-1313470000._CB470159285_.png,84 min,Animation|Action|Comedy,6.8,69,A villain's maniacal plan for world domination sidetracks five teenage superheroes who dream of Hollywood stardom.,Aaron Horvath,https://www.imdb.com/name/nm1739338/?ref_=inth_ov_nm,Peter Rida Michail|Greg Cipes|Scott Menville|Khary Payton,Weekend: $10.41M| Gross: $25.87M,https://www.imdb.com/video/imdb/vi2623453209?ref_=inth_ov_vi,Family,Sci-Fi,
