lister-item-image href,loadlate src,movie name,trailer href,lister-item-year,runtime,genre,item-content,actor 1,,actor 2,,actor 3,,actor 4,,actor 5
https://www.imdb.com/title/tt3783958/?ref_=ttls_li_i,"https://m.media-amazon.com/images/M/MV5BMzUzNDM2NzM2MV5BMl5BanBnXkFtZTgwNTM3NTg4OTE@._V1_UY209_CR0,0,140,209_AL_.jpg",La La Land,https://www.imdb.com/title/tt3783958/?ref_=ttls_li_tt,(I) (2016),128 min,"Comedy, Drama, Music","While navigating their careers in Los Angeles, a pianist and an actress fall in love while attempting to reconcile their aspirations for the future.",Damien Chazelle,,Ryan Gosling,,Emma Stone,,Rosemarie DeWitt,,J.K. Simmons
https://www.imdb.com/title/tt4034228/?ref_=ttls_li_i,"https://m.media-amazon.com/images/M/MV5BMTYxMjk0NDg4Ml5BMl5BanBnXkFtZTgwODcyNjA5OTE@._V1_UY209_CR0,0,140,209_AL_.jpg",Manchester by the Sea,https://www.imdb.com/title/tt4034228/?ref_=ttls_li_tt,-2016,137 min,Drama,A depressed uncle is asked to take care of his teenage nephew after the boy's father dies.,Kenneth Lonergan,,Casey Affleck,,Michelle Williams,,Kyle Chandler,,Lucas Hedges
https://www.imdb.com/title/tt4975722/?ref_=ttls_li_i,"https://m.media-amazon.com/images/M/MV5BNzQxNTIyODAxMV5BMl5BanBnXkFtZTgwNzQyMDA3OTE@._V1_UY209_CR0,0,140,209_AL_.jpg",Moonlight,https://www.imdb.com/title/tt4975722/?ref_=ttls_li_tt,(I) (2016),111 min,Drama,"A chronicle of the childhood, adolescence and burgeoning adulthood of a young, African-American, gay man growing up in a rough neighborhood of Miami.",Barry Jenkins,,Mahershala Ali,,Naomie Harris,,Trevante Rhodes,,Alex R. Hibbert
https://www.imdb.com/title/tt2582782/?ref_=ttls_li_i,"https://m.media-amazon.com/images/M/MV5BMTg4NDA1OTA5NF5BMl5BanBnXkFtZTgwMDQ2MDM5ODE@._V1_UY209_CR0,0,140,209_AL_.jpg",Hell or High Water,https://www.imdb.com/title/tt2582782/?ref_=ttls_li_tt,(II) (2016),102 min,"Crime, Drama, Thriller",A divorced father and his ex-con older brother resort to a desperate scheme in order to save their family's ranch in West Texas.,David Mackenzie,,Chris Pine,,Ben Foster,,Jeff Bridges,,Gil Birmingham
https://www.imdb.com/title/tt2543164/?ref_=ttls_li_i,"https://m.media-amazon.com/images/M/MV5BMTExMzU0ODcxNDheQTJeQWpwZ15BbWU4MDE1OTI4MzAy._V1_UX140_CR0,0,140,209_AL_.jpg",Arrival,https://www.imdb.com/title/tt2543164/?ref_=ttls_li_tt,(II) (2016),116 min,"Drama, Mystery, Sci-Fi",A linguist is recruited by the military to communicate with alien lifeforms after twelve mysterious spacecrafts land around the world.,Denis Villeneuve,,Amy Adams,,Jeremy Renner,,Forest Whitaker,,Michael Stuhlbarg
https://www.imdb.com/title/tt3741834/?ref_=ttls_li_i,"https://m.media-amazon.com/images/M/MV5BMjA3NjkzNjg2MF5BMl5BanBnXkFtZTgwMDkyMzgzMDI@._V1_UY209_CR1,0,140,209_AL_.jpg",Lion,https://www.imdb.com/title/tt3741834/?ref_=ttls_li_tt,-2016,118 min,"Biography, Drama","A five-year-old Indian boy gets lost on the streets of Calcutta, thousands of kilometers from home. He survives many challenges before being adopted by a couple in Australia. 25 years later, he sets out to find his lost family.",Garth Davis,,Dev Patel,,Nicole Kidman,,Rooney Mara,,Sunny Pawar
https://www.imdb.com/title/tt2119532/?ref_=ttls_li_i,"https://m.media-amazon.com/images/M/MV5BMjQ1NjM3MTUxNV5BMl5BanBnXkFtZTgwMDc5MTY5OTE@._V1_UX140_CR0,0,140,209_AL_.jpg",Hacksaw Ridge,https://www.imdb.com/title/tt2119532/?ref_=ttls_li_tt,-2016,139 min,"Biography, Drama, History","WWII American Army Medic , who served during the Battle of Okinawa, refuses to kill people, and becomes the first man in American history to receive the Medal of Honor without firing a shot.",Mel Gibson,,Andrew Garfield,,Sam Worthington,,Luke Bracey,,Teresa Palmer
https://www.imdb.com/title/tt0490215/?ref_=ttls_li_i,"https://m.media-amazon.com/images/M/MV5BMjY3OTk0NjA2NV5BMl5BanBnXkFtZTgwNTg3Mjc2MDI@._V1_UX140_CR0,0,140,209_AL_.jpg",Silence,https://www.imdb.com/title/tt0490215/?ref_=ttls_li_tt,(I) (2016),161 min,"Adventure, Drama, History","In the 17th century, two Portuguese Jesuit priests travel to Japan in an attempt to locate their mentor, who is rumored to have committed apostasy, and to propagate Catholicism.",Martin Scorsese,,Andrew Garfield,,Adam Driver,,Liam Neeson,,Tadanobu Asano
https://www.imdb.com/title/tt1619029/?ref_=ttls_li_i,"https://m.media-amazon.com/images/M/MV5BMzg4MjYzNjk5N15BMl5BanBnXkFtZTgwODgwODI3MDI@._V1_UY209_CR0,0,140,209_AL_.jpg",Jackie,https://www.imdb.com/title/tt1619029/?ref_=ttls_li_tt,(V) (2016),100 min,"Biography, Drama, History","Following the assassination of President , First Lady  fights through grief and trauma to regain her faith, console her children, and define her husband's historic legacy.",Pablo Larraín,,Natalie Portman,,Peter Sarsgaard,,Greta Gerwig,,Billy Crudup
https://www.imdb.com/title/tt2671706/?ref_=ttls_li_i,"https://m.media-amazon.com/images/M/MV5BOTg0Nzc1NjA0MV5BMl5BanBnXkFtZTgwNTcyNDQ0MDI@._V1_UX140_CR0,0,140,209_AL_.jpg",Fences,https://www.imdb.com/title/tt2671706/?ref_=ttls_li_tt,-2016,139 min,Drama,"A working-class African-American father tries to raise his family in the 1950s, while coming to terms with the events of his life.",Denzel Washington,,Denzel Washington,,Viola Davis,,Stephen Henderson,,Jovan Adepo
