image,url,id,title,released_year,runtime,genre,rate,description,directed_by,cast,votes
https://www.imdb.com/title/tt6148156/?ref_=kw_li_i,"https://m.media-amazon.com/images/M/MV5BNjQ1YWEwMTMtNTI4MC00ZjU5LThlMDItOGU2ZDVkZGVjZTY3XkEyXkFqcGdeQXVyODIwMDI1NjM@._V1_UY209_CR4,0,140,209_AL_.jpg",TM_1,Vikram Vedha,2017,147 min,"Action, Crime, Thriller",8.8,"Vikram, a no-nonsense police officer, accompanied by Simon, his partner, is on the hunt to capture Vedha, a smuggler and a murderer. Vedha tries to change Vikram's life, which leads to a conflict.",Gayatri,"Pushkar,Madhavan,Vijay Sethupathi,Shraddha Srinath",13918
https://www.imdb.com/title/tt2372678/?ref_=kw_li_i,"https://m.media-amazon.com/images/M/MV5BMTUwNjQ3Nzk5N15BMl5BanBnXkFtZTgwMjI4MTgzMTE@._V1_UY209_CR2,0,140,209_AL_.jpg",TM_2,2 States,2014,149 min,"Comedy, Drama, Romance",6.9,This movie chronicles how Chetan met his wife and the difficulties they faced due to their cultural differences.,Abhishek Varman,"Arjun Kapoor,Alia Bhatt,Amrita Singh,Revathy",20819
https://www.imdb.com/title/tt4082068/?ref_=kw_li_i,"https://m.media-amazon.com/images/M/MV5BMzc1NzgwMzgyM15BMl5BanBnXkFtZTgwMzAwMzQ1ODE@._V1_UY209_CR0,0,140,209_AL_.jpg",TM_3,Dheepan,2015,115 min,"Crime, Drama",7.2,Dheepan is a Sri Lankan Tamil warrior who flees to France and ends up working as a caretaker outside Paris.,Jacques Audiard,"Jesuthasan Antonythasan,Kalieaswari Srinivasan,Claudine Vinasithamby,Vincent Rottiers",11248
https://www.imdb.com/title/tt1562871/?ref_=kw_li_i,"https://m.media-amazon.com/images/M/MV5BMzcyMjMxOTg4MF5BMl5BanBnXkFtZTcwNzEwMDE5Ng@@._V1_UX140_CR0,0,140,209_AL_.jpg",TM_4,Ra.One,2011,156 min,"Action, Adventure, Sci-Fi",4.8,A computer game character takes on physical form to destroy a player who nearly beat him but quit the game in between.,Anubhav Sinha,"Shah Rukh Khan,Arjun Rampal,Kareena Kapoor,Shahana Goswami",34377
https://www.imdb.com/title/tt7179784/?ref_=kw_li_i,"https://m.media-amazon.com/images/M/MV5BNTIzZWRkZWItMGQxNC00NGYzLTkyMDgtZDI2ZDI1OGI3ODAyXkEyXkFqcGdeQXVyODIwMDI1NjM@._V1_UY209_CR17,0,140,209_AL_.jpg",TM_5,Irumbu Thirai,2018,160 min,"Action, Thriller",7.9,A soldier takes on a gang of cyber criminals when money goes missing from his account.,P.S. Mithran,"Vishal,Arjun,Samantha Ruth Prabhu,Vincent Ashokan",1499
https://www.imdb.com/title/tt5071886/?ref_=kw_li_i,"https://m.media-amazon.com/images/M/MV5BNTU0NzExMTQtMjhjYS00ZTRkLWI4NTgtOGE4NDNjYzM3M2I3XkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_UX140_CR0,0,140,209_AL_.jpg",TM_6,Kabali,2016,153 min,"Action, Crime, Drama",6.4,"Returning from prison, aged gangster Kabali confronts those who had destroyed his life. While doing so, he learns about what had happened to his family when he was gone.",Pa. Ranjith,"Rajinikanth,Winston Chao,Radhika Apte,Dhansika",9658
https://www.imdb.com/title/tt0098999/?ref_=kw_li_i,"https://m.media-amazon.com/images/M/MV5BMjE2NDA0ODgyMF5BMl5BanBnXkFtZTgwMTk4MTI5NTE@._V1_UY209_CR8,0,140,209_AL_.jpg",TM_7,Agneepath,1990,174 min,"Action, Crime, Drama",7.7,"A young boy's quest for revenge leads him to become a gangster as an adult, and with each day he becomes more and more like his enemies. Can he find vengeance and redemption?",Mukul Anand,"Amitabh Bachchan,Mithun Chakraborty,Madhavi,Neelam Kothari",7000
https://www.imdb.com/title/tt1512888/?ref_=kw_li_i,"https://m.media-amazon.com/images/M/MV5BOGVkZDVhOGItODM2YS00MmM0LTg4YmYtNjFmNTdmMmM5ZmNiXkEyXkFqcGdeQXVyNjY1NTEzNjE@._V1_UY209_CR13,0,140,209_AL_.jpg",TM_8,Ayirathil Oruvan,2010,183 min,"Action, Adventure, Fantasy",7.6,"Chandramouli, a famous archaeologist, goes missing while on a research expedition. Anitha, a government officer, and Lavanya, Chandramouli's daughter, embark on an adventurous journey to find him.",K. Selvaraghavan,"Karthi,Reema Sen,Andrea Jeremiah,Parthiban",2432
https://www.imdb.com/title/tt0083820/?ref_=kw_li_i,"https://m.media-amazon.com/images/M/MV5BODA0YmRlOTMtOTVlNy00NzljLThlZTgtMzAxNTc5OTcwN2Y2XkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UY209_CR4,0,140,209_AL_.jpg",TM_9,Desh Premee,1982,,"Action, Comedy, Drama",6,"Master Dinanath is an ex-freedom fighter. When he gets Thakur Pratap Singh arrested for arms smuggling, he has Master's wife Bharati and young daughter Priti kidnapped and also turns his ...                 »",Manmohan Desai,"Amitabh Bachchan,Hema Malini,Navin Nischol,Parveen Babi",457
https://www.imdb.com/title/tt1664806/?ref_=kw_li_i,"https://m.media-amazon.com/images/M/MV5BYzQwNGFlNmYtMmNkOC00MDdiLThmMjMtNjZlZDdjN2UyZTE0XkEyXkFqcGdeQXVyODE0NjUxNzY@._V1_UY209_CR3,0,140,209_AL_.jpg",TM_10,Raavanan,2010,128 min,"Action, Adventure, Crime",6.8,"A bandit leader kidnaps the wife of the policeman who killed his sister, but later falls in love with her.",Mani Ratnam,"Vikram,Aishwarya Rai Bachchan,Prithviraj Sukumaran,Priyamani",2705
https://www.imdb.com/title/tt1526875/?ref_=kw_li_i,"https://m.media-amazon.com/images/M/MV5BMjI2NjU2NjIxNF5BMl5BanBnXkFtZTgwNzMxMDgxMzE@._V1_UY209_CR4,0,140,209_AL_.jpg",TM_11,Abhiyum Naanum,2008,147 min,"Comedy, Drama",7.6,"The father of a grown daughter meets the father of a toddler at a playground and recounts the story of his own relationship with his daughter through the years, including his difficulties with accepting her marriage.",Radha Mohan,"Prakash Raj,Trisha Krishnan,Aishwarya,Ganesh Venkatraman",864
https://www.imdb.com/title/tt0082314/?ref_=kw_li_i,"https://m.media-amazon.com/images/M/MV5BMTYwMDM5NTczN15BMl5BanBnXkFtZTgwNzA0ODk1MDE@._V1_UY209_CR8,0,140,209_AL_.jpg",TM_12,Ek Duuje Ke Liye,1981,167 min,"Drama, Musical, Romance",7.5,"Hindi-speaking collegian Sapna lives a wealthy lifestyle in Dona Paula, near Panaji, Goa, India, along with her Professor dad, Kundanlal, and mom. Their immediate neighbors are ...                 »",K. Balachander,"Kamal Haasan,Rati Agnihotri,Madhavi,Sunil Thapa",896
https://www.imdb.com/title/tt2255934/?ref_=kw_li_i,"https://m.media-amazon.com/images/M/MV5BMjIyMjEyMjgyNV5BMl5BanBnXkFtZTgwMDU3MzQ5NjE@._V1_UX140_CR0,0,140,209_AL_.jpg",TM_13,Aiyyaa,2012,152 min,"Comedy, Romance",4.4,"A woman goes on the hunt for her dream man, armed with her wild imagination, her passion for Masala-films, and her ultra-sensitive sense of smell.",Sachin Kundalkar,"Rani Mukerji,Prithviraj Sukumaran,Nirmiti Sawant,Subodh Bhave",1442
https://www.imdb.com/title/tt1353033/?ref_=kw_li_i,"https://m.media-amazon.com/images/M/MV5BZWVhMDAwZDktNmM4MS00NjQzLTgzZDctNWZlN2QwZmIzNmNjXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_UY209_CR4,0,140,209_AL_.jpg",TM_14,Manjadikuru,2008,120 min,"Drama, Family",8.1,This is story of homecoming from the late 1970s. Ten-year-old Vicky arrives at his grandparents' home in rural Kerala to attend his grandfather's funeral. The disjointed family gathers ...                 »,Anjali Menon,"Prithviraj Sukumaran,Thilakan,Jagathi Sreekumar,Rahman",816
https://www.imdb.com/title/tt2555958/?ref_=kw_li_i,"https://m.media-amazon.com/images/M/MV5BZDBiMzgyNmMtMThlYS00ZGIyLWI2OTctMGQwZWU1ZTFkNDk4XkEyXkFqcGdeQXVyODE0NjUxNzY@._V1_UY209_CR6,0,140,209_AL_.jpg",TM_15,Arrambam,2013,157 min,"Action, Drama, Mystery",7.2,A mysterious man along with a young computer hacker tries to unveil a major government conspiracy which resulted in several bloody deaths.,Vishnuvardhan,"Ajith Kumar,Arya,Nayanthara,Tapsee Pannu",7731
https://www.imdb.com/title/tt5556784/?ref_=kw_li_i,"https://m.media-amazon.com/images/M/MV5BZWIzMjc1ZjgtMzE4NS00MGE4LWJjNTctMjAxMzNkMTlmMDBiXkEyXkFqcGdeQXVyODk1OTg3MTI@._V1_UY209_CR6,0,140,209_AL_.jpg",TM_16,Kodi,2016,145 min,"Action, Drama, Thriller",6.8,"An idealistic man and his identical obverse, an ambitious politician, navigate life in parallel. Which one will achieve the good life?",R.S. Durai Senthilkumar,"Dhanush,Trisha Krishnan,Anupama Parameshwaran,Saranya Ponvannan",1493
