image,url,id,title,release_year,runtime,genre,rate,description,directed_by,cast,cast,cast,cast,votes
https://www.imdb.com/title/tt1187043/?ref_=kw_li_i,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,1,3 Idiots,2009,170 min,"Comedy, Drama",8.4,"Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots"".",Rajkumar Hirani,Aamir Khan,Madhavan,Mona Singh,Sharman Joshi,"278,580"
https://www.imdb.com/title/tt5074352/?ref_=kw_li_i,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,2,Dangal,2016,161 min,"Action, Biography, Drama",8.5,Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.,Nitesh Tiwari,Aamir Khan,Sakshi Tanwar,Fatima Sana Shaikh,Sanya Malhotra,"101,714"
https://www.imdb.com/title/tt5461944/?ref_=kw_li_i,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,3,Hotel Mumbai,2018,125 min,"Crime, Drama, History",,Hotel Mumbai tells the astonishing true story of the victims and survivors of the devastating attacks on Mumbai in 2008. A story which fearlessly tackles the defining global issues of our ...                 »,Anthony Maras,Armie Hammer,Jason Isaacs,Nazanin Boniadi,Dev Patel,
https://www.imdb.com/title/tt6774212/?ref_=kw_li_i,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,4,Aiyaary,2018,157 min,"Action, Crime, Drama",5.2,"After finding out about an illegal arms deal, a military intelligence officer goes rogue with highly sensitive data related to his organization, causing his mentor: a colonel to hunt him down.",Neeraj Pandey,Sidharth Malhotra,Manoj Bajpayee,Rakul Preet Singh,Pooja Chopra,"2,552"
https://www.imdb.com/title/tt0811138/?ref_=kw_li_i,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,5,The Love Guru,2008,87 min,"Comedy, Romance, Sport",3.8,"Pitka, an American raised outside of his country by gurus, returns to the States in order to break into the self-help business. His first challenge is to settle the romantic troubles and subsequent professional skid of a star hockey player whose wife left him for a rival athlete.",Marco Schnabel,Mike Myers,Jessica Alba,Romany Malco,Jessica Simpson,"46,245"
https://www.imdb.com/title/tt7363076/?ref_=kw_li_i,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,6,Raid,2018,122 min,"Action, Crime, Drama",7.5,A fearless income tax officer raids the mansion of the most powerful man in Lucknow after someone mysteriously draws his attention towards the evidence.,Raj Kumar Gupta,Ajay Devgn,Saurabh Shukla,Ileana D'Cruz,Amit Sial,"6,974"
https://www.imdb.com/title/tt0361411/?ref_=kw_li_i,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,7,Bride & Prejudice,2004,122 min,"Comedy, Drama, Musical",6.2,"A modern adaptation of Jane Austen's classic novel, Pride and Prejudice, that features the lives of four unmarried daughters in an Indian family.",Gurinder Chadha,Martin Henderson,Aishwarya Rai Bachchan,Nadira Babbar,Anupam Kher,"18,633"
https://www.imdb.com/title/tt2980794/?ref_=kw_li_i,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,8,Highway,2014,133 min,"Crime, Drama, Romance",7.6,"Right before her wedding, a young woman finds herself abducted and held for ransom. As the initial days pass, she begins to develop a strange bond with her kidnapper.",Imtiaz Ali,Alia Bhatt,Randeep Hooda,Durgesh Kumar,Pradeep Nagar,"21,774"
https://www.imdb.com/title/tt5935072/?ref_=kw_li_i,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,9,Mostly Sunny,2016,94 min,Documentary,5.5,"Mostly Sunny is a documentary that tells the remarkable story of Sunny Leone, the Canadian-born, American-bred adult film star who is pursuing her dreams of Bollywood stardom.",Dilip Mehta,Sunny Leone,Daniel Weber,Sundeep Vohra,Kiran Bedi,428
https://www.imdb.com/title/tt1185420/?ref_=kw_li_i,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,10,Dostana,2008,145 min,"Comedy, Drama, Romance",6.5,"Two straight guys pretend to be gay in order to secure a Miami apartment. When both of them fall for their roommate Neha, hilarity ensues as they strive to convince one and all that they're gay whilst secretly trying to win her heart.",Tarun Mansukhani,Abhishek Bachchan,John Abraham,Priyanka Chopra,Kiron Kher,"12,247"
