url,id,title,release_year,genre,description,directed_by,cast,cast,cast,cast,runtime,rate,votes,,,,,,,,
"https://m.media-amazon.com/images/M/MV5BMTc3ODIwNzA2NF5BMl5BanBnXkFtZTgwMTUzMjA4NTM@._V1_UY209_CR34,0,140,209_AL_.jpg",1,Once Upon a Time in Hollywood,2019,"Crime, Drama, Thriller",A faded TV actor and his stunt double embark on an odyssey to make a name for themselves in the film industry during the Helter Skelter reign of terror in 1969 Los Angeles.,Quentin Tarantino,Margot Robbie,Leonardo DiCaprio,Brad Pitt,Dakota Fanning,,,,,,,,,,,
"https://m.media-amazon.com/images/M/MV5BNDMxNTQ0NjIwOV5BMl5BanBnXkFtZTgwODE5NjA5MjI@._V1_UY209_CR0,0,140,209_AL_.jpg",2,Home Again,2017,"Comedy, Drama, Romance",Life for a single mom in Los Angeles takes an unexpected turn when she allows three young guys to move in with her.,Hallie Meyers-Shyer,Reese Witherspoon,Michael Sheen,Candice Bergen,Pico Alexander,97 min,5.8,"17,667",,,,,,,,
"https://m.media-amazon.com/images/M/MV5BNDQyNDE5NjQ1N15BMl5BanBnXkFtZTcwMDExMTAwMg@@._V1_UY209_CR3,0,140,209_AL_.jpg",3,Bolt,2008,"Animation, Adventure, Comedy",The canine star of a fictional sci-fi/action show that believes his powers are real embarks on a cross country trek to save his co-star from a threat he believes is just as real.,Byron Howard,Chris Williams,John Travolta,Miley Cyrus,Susie Essman,96 min,6.9,"166,260",,,,,,,,
"https://m.media-amazon.com/images/M/MV5BNjk2ODQzNDYxNV5BMl5BanBnXkFtZTgwMTcyNDg4NjE@._V1_UX140_CR0,0,140,209_AL_.jpg",4,Pretty Woman,1990,"Comedy, Romance","A man in a legal but hurtful business needs an escort for some social events, and hires a beautiful prostitute he meets... only to fall in love.",Garry Marshall,Richard Gere,Julia Roberts,Jason Alexander,Laura San Giacomo,119 min,7,"246,207",,,,,,,,
"https://m.media-amazon.com/images/M/MV5BNjM3OTFhMjUtMDlkMC00NGQ5LTgxNDMtNGY2YjRmNzljMmRmXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_UX140_CR0,0,140,209_AL_.jpg",5,Saturday Night Live,1975,"Comedy, Music",A famous guest host stars in parodies and sketches created by the cast of this witty show.,Don Pardo,Lenny Pickett,Darrell Hammond,Kenan Thompson,,90 min,8.1,"37,406",,,,,,,,
"https://m.media-amazon.com/images/M/MV5BMTQ5NDlmZWUtMjIyMC00NzQ3LTg3OWYtMzRkY2FiNzQ0Njc4XkEyXkFqcGdeQXVyNDQ2MTMzODA@._V1_UY209_CR0,0,140,209_AL_.jpg",6,Percy Jackson & the Olympians: The Lightning Thief,2010,"Adventure, Family, Fantasy",A teenager discovers he's the descendant of a Greek god and sets out on an adventure to settle an on-going battle between the gods.,Chris Columbus,Logan Lerman,Kevin McKidd,Steve Coogan,Brandon T. Jackson,118 min,5.9,"159,060",,,,,,,,
"https://m.media-amazon.com/images/M/MV5BMTkzODMwNDkzOF5BMl5BanBnXkFtZTgwNDA4NzA1ODE@._V1_UY209_CR2,0,140,209_AL_.jpg",7,The Invitation,2015,"Drama, Mystery, Thriller","While attending a dinner party at his former home, a man thinks his ex-wife and her new husband have sinister intentions for their guests.",Karyn Kusama,Logan Marshall-Green,Emayatzy Corinealdi,Michiel Huisman,Tammy Blanchard,100 min,6.7,"58,820",,,,,,,,
"https://m.media-amazon.com/images/M/MV5BMjIzNDE4MTM2Ml5BMl5BanBnXkFtZTcwNjYyNTA2Mw@@._V1_UY209_CR4,0,140,209_AL_.jpg",8,Big Time Rush,2009–2013,"Comedy, Family, Musical","Four hockey players from Minnesota aspire to become a boyband. Kendall, Logan, Carlos, and James embark on a life-changing journey and face challenges along the way.",Kendall Schmidt,James Maslow,Carlos PenaVega,Logan Henderson,,25 min,6.2,"7,840",,,,,,,,
"https://m.media-amazon.com/images/M/MV5BZGQ3YjZlMjUtMDQ4Mi00NGNiLWFhODItYTUwMGM1ZGI5ZGY5XkEyXkFqcGdeQXVyNjk1Njg5NTA@._V1_UX140_CR0,0,140,209_AL_.jpg",9,Victorious,2010–2013,"Comedy, Drama, Family",Aspiring singer Tori Vega navigates life while attending a performing arts high school called Hollywood Arts.,Victoria Justice,Leon Thomas III,Matt Bennett,Elizabeth Gillies,,30 min,6.9,"15,972",,,,,,,,
"https://m.media-amazon.com/images/M/MV5BOTI1M2FlMzItY2VjYS00Y2VkLWI5OTQtMzA0MWMyNmQzZmQ0XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UY209_CR0,0,140,209_AL_.jpg",10,"Hail, Caesar!",2016,"Comedy, Mystery",A Hollywood fixer in the 1950s works to keep the studio's stars in line.,Ethan Coen,Joel Coen,Josh Brolin,George Clooney,Alden Ehrenreich,106 min,6.3,"104,548",,,,,,,,
